FirstName,LastName,Email,DateOfBirth
PARTIAL_VALID_01,Demo,partial.valid01@example.com,1990-01-01
PARTIAL_VALID_02,Demo,partial.valid02@example.com,1991-02-02
PARTIAL_INVALID_EMAIL,Demo,partial.invalid.email.example.com,1992-03-03
PARTIAL_VALID_03,Demo,partial.valid03@example.com,1993-04-04
PARTIAL_FUTURE_DOB,Demo,partial.future@example.com,2999-05-05
PARTIAL_VALID_04,Demo,partial.valid04@example.com,1994-06-06
PARTIAL_EMPTY_DOB,Demo,partial.emptydob@example.com,
PARTIAL_VALID_05,Demo,partial.valid05@example.com,1995-07-07
PARTIAL_TOO_OLD,Demo,partial.toolold@example.com,1800-01-01
PARTIAL_VALID_06,Demo,partial.valid06@example.com,1996-08-08
PARTIAL_VALID_07,Demo,partial.valid07@example.com,1997-09-09
PARTIAL_INVALID_EMAIL2,Demo,partial.invalid2.example.com,1998-10-10
PARTIAL_VALID_08,Demo,partial.valid08@example.com,1999-11-11
PARTIAL_VALID_09,Demo,partial.valid09@example.com,2000-12-12
PARTIAL_VALID_10,Demo,partial.valid10@example.com,1985-01-13
PARTIAL_FUTURE_DOB2,Demo,partial.future2@example.com,2999-02-14
PARTIAL_VALID_11,Demo,partial.valid11@example.com,1986-03-15
PARTIAL_EMPTY_DOB2,Demo,partial.emptydob2@example.com,
PARTIAL_VALID_12,Demo,partial.valid12@example.com,1987-04-16
PARTIAL_VALID_13,Demo,partial.valid13@example.com,1988-05-17
PARTIAL_TOO_OLD2,Demo,partial.toolold2@example.com,1800-06-18
PARTIAL_VALID_14,Demo,partial.valid14@example.com,1989-07-19
PARTIAL_VALID_15,Demo,partial.valid15@example.com,1990-08-20
PARTIAL_VALID_16,Demo,partial.valid16@example.com,1991-09-21
PARTIAL_VALID_17,Demo,partial.valid17@example.com,1992-10-22


